context,occurrences
...XXX XXXX FL - {$240.00} [XXXX] FL - {$240.00...,5
...is causing me a lot of [XXXX] ....,5
"...XX/XX/XXXX, XX/XX/XXXX, [XXXX] , XX/XX/XXXX,...",5
...XXXX XXXX XXXX XXXX # ( [XXXX] ) XXXX XXXX X...,5
...XX XXXX XXXX # ( XXXX ) [XXXX] # ( XXXX ) XX...,5
...XXX XXXX XXXX  XXXX # ( [XXXX] ) XXXX XXXX X...,5
...X XXXX  XXXX # ( XXXX ) [XXXX] # ( XXXX ) XX...,5
...XXX ( contact number is [XXXX] ) - XXXX XXXX...,5
...Department Report XXXX. [XXXX] Sheriff 's De...,5
...X - Online purchase for [XXXX] - Online purc...,5
...ne	$XXXX	View DetailsXX/ [XXXX] NV XXXX XXXX...,5
...ne	$XXXX	View DetailsXX/ [XXXX] NV Gasoline	$...,5
...s XX/XX/XXXX XXXX calls [XXXX] calls XX/XX/X...,5
...XXX : XXXX XX/XX/XXXX : [XXXX] : XXXX XX/XX/...,5
...account open in my name [XXXX] I do not own...,5
"...XXX XXXX past due, '' "" [XXXX] past due, ''...",5
...X XXXX XXXX XX/XX/year> [XXXX] transaction f...,5
...XXXX 90 days late as of [XXXX] 90 days late...,4
"...Dear [XXXX] , I am writing...",4
...XXXX XXXX : XXXX XXXX : [XXXX] : XXXX XXXX :...,4
...t Checking - PNC points [XXXX] - XXXX/XXXX/2...,4
...me a lot of stress and [XXXX] and I can't...,4
...XXXX XX/XX/XXXX XXXX # [XXXX] per fraud rep...,4
...Between [XXXX] and XX/XX/yea...,4
...( FRAUD ) XX/XX/XXXX : [XXXX] {$9.00} ( FRA...,4
...nt on the dates below : [XXXX] I am not sure...,4
...) XXXX + ( XX/XX/XXXX ) [XXXX] + ( XX/XX/XXX...,4
"...ime, and this giving me [XXXX] I neves miss...",4
"...successful resolution. [XXXX] , XXXX and XXX...",4
.... Please see attachment [XXXX] which shows t...,4
...XXXX. Certified Mail # [XXXX] Delivered on...,4
"...Statement Closing Date [XXXX] , PayPal Credi...",4
...leted by XXXX and XXXX. [XXXX] and XXXX have...,4
...XXXX and XXXX. XXXX and [XXXX] have both com...,4
...90 days past due as of [XXXX] 60 days past...,4
...ff 's Department Report [XXXX] . XXXX XXXX XX...,4
...theft and fraud within [XXXX] business days...,4
.../XXXX XXXX XXXX XXXX NV [XXXX] Gasoline $XXX...,4
"..."" XXXX '', "" XXXX '', "" [XXXX] '', "" XXXX ''...",4
"...have paid XXXX percent [XXXX] .  XX/XX/XXXX,...",4
...have paid XXXX percent [XXXX] .  XXXX XXXX X...,4
...X Processed XX/XX/year> [XXXX] Processed XX/...,4
...022 : XXXX XX/XX/2022 : [XXXX] : XXXX XX/XX/...,4
"...X, XXXX XXXX XXXX XXXX, [XXXX] , XXXX XXXX XX...",4
... [XXXX] has been non...,3
...tablished by myself but [XXXX] keeps verify...,3
...XXXX XXXX XXXX XXXX TX [XXXX] ...,3
...APPLE CARD/GS BANK USA [XXXX] ...,3
...y older XXXX XXXX  with [XXXX] and XXXX XXXX...,3
... [XXXX] has failed to...,3
"...In [XXXX] , I applied fo...",3
...zation.  Now I am suing [XXXX] for being suc...,3
...that I can get against [XXXX] for violation...,3
"...XXX ( XXXX ) XXXX XXXX, [XXXX] , XXXX XXXX  P...",3
...I have [XXXX] accounts with...,3
...My [XXXX] credit card w...,3
...( fraud ) XX/XX/XXXX : [XXXX] {$8.00} ( fra...,3
...In late [XXXX] and early XXX...,3
"...XXXX XXXX XXXX XXXX, TX [XXXX] ...",3
"...nal Message --- From: "" [XXXX] ""  Received:...",3
...XXX {$140.00} Completed [XXXX] . XX/XX/XXXX {...,3
"...stimate ( Ex. 12 ), the [XXXX] Statement mar...",3
...ccount as accurate with [XXXX] yet has provi...,3
...of my conversation with [XXXX] on XX/XX/XXXX...,3
"...e as of  XXXX   XXXX , [XXXX] ,  XXXX   XXX...",3
"...XX XXXX XXXX XXXX XXXX, [XXXX] ...",3
...In [XXXX] of this year...,3
"...I tried contacting both [XXXX] , XXXX, XXXX a...",3
"...ssful resolution. XXXX, [XXXX] and XXXX were...",3
"...olution. XXXX, XXXX and [XXXX] were reportin...",3
...XX Statement from Chase [XXXX] . XX/XX/XXXX S...,3
"...e Depot/Citibank N.A. , [XXXX] , XXXX, XXXX...",3
"...N.A. , XXXX XXXX XXXX, [XXXX] , XXXX  XXXX X...",3
...00.00} BILLING PERIOD : [XXXX] PREVIOUS BALA...,3
... [XXXX] credit card i...,3
...cards were returned via [XXXX] as requested...,3
...porting documentation. [XXXX] lack of over...,3
...ame is XXXX. Welcome to [XXXX] Customer Care...,3
"...I, agent for principal [XXXX] and XXXX, has...",3
"..., XXXX XXXX, XXXX XXXX, [XXXX] , XXXX XXXX XX...",3
"...XX XXXX XXXX XXXX XXXX, [XXXX] , GA XXXX XXXX...",3
...ard opened XX/XX/XXXX - [XXXX] credit card o...,3
...r is XXXX XXXX XXXX ) - [XXXX] credit card o...,3
...r is XXXX XXXX XXXX ) - [XXXX] opened XX/XX/...,3
...Number : XXXX $ XXXX - [XXXX] Date of trans...,3
"...XXXX   XXXX   XXXX , [XXXX] -  XXXX   XX...",3
".../ XXXX /  XXXX  , '' [XXXX] '', '' DEBI...",3
"...Was on Payment XXXX of [XXXX] ( $ XXXX ), d...",3
...ary Method of payment : [XXXX] ending in XXX...,3
...I had [XXXX] credit cards...,3
"...it reporting agencies ( [XXXX] , XXXX, and XX...",3
"...receivedan email from "" [XXXX] '' on behalf...",3
...X. The claim number was [XXXX] . I attached p...,3
...tices of the seller and [XXXX] .   Despite pr...,3
...ne $XXXX	View DetailsXX/ [XXXX] NV Restaurant...,3
...ne	$XXXX	View DetailsXX/ [XXXX] NV Restaurant...,3
...letely removed from all [XXXX] credit burea...,3
"...major credit bureaus ( [XXXX] , XXXX, and XX...",3
...able to finally reach a [XXXX] at this merch...,3
...XXX in transactions and [XXXX] interest XXXX...,3
...XXXX XXXX XXXX XXXX VA [XXXX] ) XX/XX/2024...,3
...XXX XXXX XXXX VA XXXX ) [XXXX] VA XXXX ) XX/...,3
...y the Recon ID # s that [XXXX] uses so the m...,3
"...my credit reports with [XXXX] , XXXX, and XX...",3
.... XX/XX/XXXX XXXX calls [XXXX] calls XX/XX/X...,3
"....00} XXXX XXXX # XXXX ( [XXXX] , CA ) Amount...",3
...{$100.00} payment on my [XXXX] statement due...,3
"...X XXXX, XXXX XXXX XXXX, [XXXX] , XXXX XXXX XX...",3
...Goldman Sachs via their [XXXX] support chat...,3
"...X XXXX XXXX XXXX XXXX , [XXXX] , GA BILLS Edi...",3
"....  XX/XX/XXXX - I text [XXXX] asking that h...",3
...XXXX XXXXXX/XX/2023 for [XXXX] for XXXX XXXX...,3
...er section XXXX ( a ) ( [XXXX] ) of this tit...,3
"...t.   On XX/XX/XXXX, the [XXXX] business day...",3
...for Transaction date : [XXXX] TRANSACTION F...,3
...ees {$0.00} {$22000.00} [XXXX] transaction f...,3
...on on XX/XX/XXXX titled [XXXX] for amount XX...,3
...which it is billing me [XXXX] . XX/XX/XXXX -...,3
...There were [XXXX] unauthorized...,2
...u for your assistance. [XXXX] ...,2
...re entitled to at least [XXXX] $ per violati...,2
"...late payments for XXXX, [XXXX] , and XX/XX/ye...",2
"...actions.  Sincerely, [ [XXXX] ] All furnish...",2
"...I spoke by phone with "" [XXXX] '' of US Bank...",2
"...rticularly relevant for [XXXX] individuals,...",2
...akenly perceive them as [XXXX] .   Federal la...,2
... [XXXX] charged me {$...,2
"...XX/2018, to not pay the [XXXX] Arbitration f...",2
...X ( XXXX ) Macys XXXX ( [XXXX] ) Macys XXXX...,2
"...ership fee, card ending [XXXX] A full refund...",2
"...ving credit by visiting [XXXX] , which provid...",2
"...us.   Bank of America, [XXXX] , XXXX, FL XXX...",2
"...merica, XXXX XXXX XXXX, [XXXX] , FL XXXX.   B...",2
"...XXX XXXX XXXX, XXXX, FL [XXXX] .   Bank of Am...",2
...X/year> Merchant name : [XXXX] Disputed amou...,2
"...XXXX Texas XXXX, around [XXXX] to XXXX.  Dur...",2
"...as XXXX, around XXXX to [XXXX] .  During thos...",2
"...xpress Customer Service [XXXX] , Texas [ XXXX...",2
"...information with USPS, [XXXX] , XXXX, or a c...",2
"...Social Security : XXXX, [XXXX] this complain...",2
...loan or so related with [XXXX] OPENED ON XX/...,2
...PNC points XXXX XXXX - [XXXX] Completed {$1...,2
"...group helping me due to [XXXX] debt bondage,...",2
...cords.   CITICARDS CBNA [XXXX] ...,2
...verifiable information. [XXXX] has failed to...,2
"...XX XXXX XXXX XXXX XXXX, [XXXX] , Michigan XXX...",2
"...XXX XXXX XXXX, Michigan [XXXX] Phone : XXXX...",2
...ersal. | | XX/XX/XXXX | [XXXX] {$260.00} | N...,2
... [XXXX] agreed to ref...,2
...tional information that [XXXX] have been pro...,2
"...filed a lawsuit against [XXXX] , alleging sys...",2
"...th my experience, where [XXXX] has neither c...",2
...XXXX $ XXXX tokens and [XXXX] digital dolla...,2
...tely.   BANK OF AMERICA [XXXX] ...,2
...achment included Name : [XXXX] Date : XX/XX/...,2
"...Name : XXXX XXXX Date : [XXXX] , IL XXXX D.O....",2
"...XXXX XXXX XXXX XXXX, IL [XXXX] D.O.B XX/XX/X...",2
"...XXXX ) XXXX XXXX, XXXX, [XXXX] PDT Hello XX...",2
...nt Information : Name : [XXXX] Address : XXX...,2
"...XXXX XXXX XXXX XXXX, GA [XXXX] ...",2
...XXXX XX/XX/XXXX Order # [XXXX] per fraud rep...,2
"...XXX XXXX Washington, DC [XXXX] , XXXX XXXX, G...",2
"...XX XXXX XXXX XXXX XXXX, [XXXX] , Georgia XXXX...",2
"...XXX, XXXX XXXX, Georgia [XXXX] .  XXXX XXXX,...",2
"...XXXX  XXXX XXXX XXXX. [XXXX] , CA XXXX XXXX...",2
"...XX XXXX.  XXXX XXXX, CA [XXXX] .  XXXX, IL XX...",2
...e referenced account is [XXXX] . The current...,2
...nt statement balance is [XXXX] USD. As of XX...,2
...edit utilization. These [XXXX] credit credit...,2
...an XXXX from the Apple [XXXX] and saw an of...,2
...: B : STOP : O {$89.00} [XXXX] AZ NAME : XXX...,2
...ose date of XX/XX/19. [XXXX] is listing a...,2
...I have [XXXX] credit card a...,2
...Merchant description : [XXXX] Merchant info...,2
"...In [XXXX] of XXXX, XXXX...",2
... [XXXX] credit cards...,2
...XX XXXX AUTHORIZED USER [XXXX] AUTHORIZED US...,2
...ee statement pages ). [XXXX] - {$300.00} p...,2
...ld have been applied to [XXXX] interest bala...,2
...ent grace period on our [XXXX] credit card e...,2
"...avoring arbitration. '' [XXXX] , 563 U.S. 333...",2
...( FRAUD ) XX/XX/XXXX : [XXXX] {$5.00} ( FRA...,2
...( FRAUD ) XX/XX/XXXX : [XXXX] ( FRAUD ) XX/...,2
...( FRAUD ) XX/XX/XXXX : [XXXX] {$10.00} ( FR...,2
...( FRAUD ) XX/XX/XXXX : [XXXX] {$12.00} ( FR...,2
...( FRAUD ) XX/XX/XXXX : [XXXX] {$6.00} ( FRA...,2
...ied for the Capital One [XXXX] credit card b...,2
"...In [XXXX] , I received a...",2
...a deer while renting an [XXXX] vehicle with...,2
...an XXXX vehicle with a [XXXX] . The XXXX I u...,2
...ehicle with a XXXX. The [XXXX] I used covers...,2
...( up to {$50000.00} ). [XXXX] has repeatedl...,2
...he information from the [XXXX] side of this...,2
...d a request to submit a [XXXX] billing state...,2
...pt ( I LOGGED ON TO THE [XXXX] SITE TO CONFI...,2
...0.00} toward the claim. [XXXX] auto rental i...,2
...e {$4600.00} be paid to [XXXX] number XXXX )...,2
...eimbursement payment to [XXXX] Claim number...,2
...hank you for your time. [XXXX] ...,2
"...Email : XXXX Address : [XXXX] , XXXX XXXX XX...",2
...ion within the required [XXXX] ( XXXX ) days...,2
"...XXXX, most recently in [XXXX] and XX/XX/XXX...",2
"...t my account, opened in [XXXX] , was not cove...",2
...e being on XXXX XXXX in [XXXX] and currently...,2
"...n upgrading my phone to [XXXX] , I had to wip...",2
...edit and debit cards to [XXXX] in a quick su...,2
...merchant added an extra [XXXX] to the price...,2
...ra XXXX to the price in [XXXX] and signed th...,2
...[ [XXXX] ] [ XXXX XXXX...,2
...CFPB released Circular [XXXX] to reiterate...,2
"...nt is submitted against [XXXX] . XXXX, the pu...",2
"...tted against XXXX XXXX. [XXXX] , the publishe...",2
"...XXXX, the publisher of [XXXX] ( also appear...",2
...e resolved in my favor. [XXXX] . Parties Cons...,2
"...XXX. Parties Consumer : [XXXX] , XXXX XXXX XX...",2
"...: XXXX XXXX XXXX XXXX, [XXXX] , XXXX WA XXXX...",2
"...X XXXX, XXXX XXXX XXXX, [XXXX] WA XXXX, XXXX...",2
"...XXXX XXXX XXXX, XXXX WA [XXXX] , XXXX, XXXX M...",2
"...XXX XXXX, XXXX WA XXXX, [XXXX] , XXXX Merchan...",2
"...XX, XXXX WA XXXX, XXXX, [XXXX] Merchant : XX...",2
"..., XXXX, XXXX Merchant : [XXXX] publisher of...",2
...rge cumulative negative [XXXX] balance on my...,2
"...peech restrictions, and [XXXX] & XXXX restri...",2
"...estrictions, and XXXX & [XXXX] restrictions...",2
...emanding I restore your [XXXX] balance to XX...,2
...ur XXXX XXXX balance to [XXXX] or above by m...,2
...ts were made to receive [XXXX] . Specific Cre...,2
...XX Retaliatory conduct. [XXXX] International...,2
...incident. The merchants [XXXX] negative bala...,2
...remediated the system. [XXXX] . Relief Reque...,2
...unts in connection with [XXXX] Investigation...,2
...stigation of XXXX XXXX. [XXXX] post-refund a...,2
...ture enforcement action [XXXX] . Supporting D...,2
"...f account restrictions, [XXXX] negative bala...",2
...ations from XXXX XXXX ( [XXXX] case number X...,2
...l statement documenting [XXXX] consumer acti...,2
"...ranch ( XXXX XXXX XXXX, [XXXX] , NY XXXX ) to...",2
"...XXXX XXXX XXXX XXXX, FL [XXXX] Date : XX/XX/...",2
"...hank you for your time, [XXXX] SS # : XXXX D...",2
"...time, XXXX XXXX SS # : [XXXX] Date of Birth...",2
"...XX XXXX XXXX XXXX, Iowa [XXXX] ...",2
"...achments, including the [XXXX] Estimate ( Ex...",2
...60 days past due as of [XXXX] 30 days past...,2
"...30 days past due as of [XXXX] ,  XXXX   XXX...",2
"...XXXX ,  XXXX   XXXX , [XXXX] I am not sur...",2
...and it was given to the [XXXX] in exchange f...,2
...ows I have not taken an [XXXX] ride since XX...,2
...In late [XXXX] I received an...,2
...s on my credit report ) [XXXX] ( I dont have...,2
...arding the account with [XXXX] On XXXX I pur...,2
"...d to open accounts with [XXXX] , XXXX XXXX, X...",2
...the fraud department of [XXXX] carried out a...,2
...the fraud department of [XXXX] did an invest...,2
"...everal times to contact [XXXX] , I sent them...",2
...nd my utility bill. Yet [XXXX] refuse to del...,2
...rt.   Im requesting the [XXXX] accounts to b...,2
...by company XX/XX/XXXX : [XXXX] declined and...,2
